Run selection  >= 271036 and <= 999999
RRAPI: http://runregistry.web.cern.ch/runregistry/api/app with payload None
RRAPI: Response 200 Date: Thu, 02 Jun 2016 05:00:47 GMT Server: Apache Connection: close Content-Length: 4 Content-Type: text/plain 
RRAPI: app =  user
RRAPI: http://runregistry.web.cern.ch/runregistry/api/GLOBAL/runsummary/tsv/number%2Cevents%2Cbfield%2ChltKeyDescription/none/LATEST/data with payload {"filter": {"runClassName": "Collisions16", "datasets": {"datasetName": "like %Online%", "rowClass": "org.cern.cms.dqm.runregistry.user.model.RunDatasetRowGlobal"}, "number": ">= 271036 and <= 999999"}}
RRAPI: Response 200 Date: Thu, 02 Jun 2016 05:00:47 GMT Server: Apache Connection: close Content-Type: text/plain 
number	events	bfield	hltKeyDescription
271036	1182681	0.01894479022	/cdaq/physics/firstCollisions16/v1.3/HLT/V1
271037	3198	0.01894479022	/cdaq/physics/firstCollisions16/v1.3/HLT/V1
271044	21766	0.01894479022	/cdaq/physics/firstCollisions16/v1.3/HLT/V1
271045	226744	0.01894479022	/cdaq/physics/firstCollisions16/v1.3/HLT/V1
271046	1065	0.01894479022	/cdaq/physics/firstCollisions16/v1.3/HLT/V1
271047	168714	0.01894479022	/cdaq/physics/firstCollisions16/v1.3/HLT/V1
271048	498597	0.01894479022	/cdaq/physics/firstCollisions16/v1.3/HLT/V1
271049	213907	0.01894479022	/cdaq/physics/firstCollisions16/v1.3/HLT/V1
271050	4365	0.01894479022	/cdaq/physics/firstCollisions16/v1.3/HLT/V1
271052	34328	0.01894479022	/cdaq/physics/firstCollisions16/v1.3/HLT/V1
271056	14492075	0.01894479022	/cdaq/physics/firstCollisions16/v1.3/HLT/V1
271076	209201	0.01894479022	/cdaq/physics/firstCollisions16/v1.3/HLT/V1
271077	212419	0.01894479022	/cdaq/physics/firstCollisions16/v1.3/HLT/V1
271080	89753	0.01894479022	/cdaq/physics/firstCollisions16/v1.3/HLT/V1
271081	453520	0.01894479022	/cdaq/physics/firstCollisions16/v1.3/HLT/V1
271082	3470801	0.01894479022	/cdaq/physics/firstCollisions16/v1.3/HLT/V1
271083	1096961	0.01894479022	/cdaq/physics/firstCollisions16/v1.3/HLT/V1
271084	7007609	0.01894479022	/cdaq/physics/firstCollisions16/v1.3/HLT/V1
271184	375356	0.01894479022	/cdaq/physics/firstCollisions16/v1.4/HLT/V1
271187	194048	0.01894479022	/cdaq/physics/firstCollisions16/v1.4/HLT/V1
271188	1276294	0.01894479022	/cdaq/physics/firstCollisions16/v1.4/HLT/V1
271190	20291	0.01894479022	/cdaq/physics/firstCollisions16/v1.4/HLT/V1
271191	4546117	0.01894479022	/cdaq/physics/firstCollisions16/v1.4/HLT/V1
271192	2412171	0.01894479022	/cdaq/physics/firstCollisions16/v1.4/HLT/V1
271193	5502544	0.01894479022	/cdaq/physics/firstCollisions16/v1.4/HLT/V1
271195	10629320	0.01894479022	/cdaq/physics/firstCollisions16/v1.4/HLT/V1
271196	10464000	0.01894479022	/cdaq/physics/firstCollisions16/v1.4/HLT/V1
271197	2420912	0.01894479022	/cdaq/physics/firstCollisions16/v1.4/HLT/V1
271213	433774	0.01894479022	/cdaq/physics/firstCollisions16/v1.4/HLT/V1
271214	8745578	0.01894479022	/cdaq/physics/firstCollisions16/v1.4/HLT/V1
271304	2418957	0.01894479022	/cdaq/physics/firstCollisions16/v1.5/HLT/V2
271305	70059	0.01894479022	/cdaq/physics/firstCollisions16/v1.5/HLT/V2
271306	4370282	0.01894479022	/cdaq/physics/firstCollisions16/v1.5/HLT/V2
271307	1322541	0.01894479022	/cdaq/physics/firstCollisions16/v1.5/HLT/V2
271310	719402	0.01894479022	/cdaq/physics/firstCollisions16/v1.5/HLT/V2
271312	2127801	0.01894479022	/cdaq/physics/firstCollisions16/v1.5/HLT/V2
271313	789320	0.01894479022	/cdaq/physics/firstCollisions16/v1.5/HLT/V2
271314	658881	0.01894479022	/cdaq/physics/firstCollisions16/v1.5/HLT/V2
271317	976432	0.01894479022	/cdaq/physics/firstCollisions16/v1.5/HLT/V2
271318	758181	0.01894479022	/cdaq/physics/firstCollisions16/v1.5/HLT/V2
271319	853842	0.01894479022	/cdaq/physics/firstCollisions16/v1.5/HLT/V2
271321	995603	0.01894479022	/cdaq/physics/firstCollisions16/v1.5/HLT/V2
271322	736822	0.01894479022	/cdaq/physics/firstCollisions16/v1.5/HLT/V2
271323	832901	0.01894479022	/cdaq/physics/firstCollisions16/v1.5/HLT/V2
271324	742922	0.01894479022	/cdaq/physics/firstCollisions16/v1.5/HLT/V2
271327	734620	0.01894479022	/cdaq/physics/firstCollisions16/v1.5/HLT/V2
271328	751883	0.01894479022	/cdaq/physics/firstCollisions16/v1.5/HLT/V2
271329	748582	0.01894479022	/cdaq/physics/firstCollisions16/v1.5/HLT/V2
271330	733516	0.01894479022	/cdaq/physics/firstCollisions16/v1.5/HLT/V2
271331	734582	0.01894479022	/cdaq/physics/firstCollisions16/v1.5/HLT/V2
271332	776633	0.01894479022	/cdaq/physics/firstCollisions16/v1.5/HLT/V2
271336	16616391	0.01894479022	/cdaq/physics/firstCollisions16/v1.5/HLT/V2
271337	235158	0.01894479022	/cdaq/physics/firstCollisions16/v1.5/HLT/V2
271338	146769	0.01894479022	/cdaq/physics/firstCollisions16/v1.5/HLT/V2
271342	3507200	0.01894479022	/cdaq/physics/firstCollisions16/v1.5/HLT/V2
271645	10457199	0.01894479022	/cdaq/physics/firstCollisions16/v1.7/HLT/V1
271646	11258895	0.01894479022	/cdaq/physics/firstCollisions16/v1.7.1/HLT/V1
271648	822	0.01894479022	/cdaq/physics/firstCollisions16/v1.7.1/HLT/V1
271649	461	0.01894479022	/cdaq/physics/firstCollisions16/v1.7.1/HLT/V1
271651		0.07449915003	/cdaq/physics/firstCollisions16/v1.7.1/HLT/V1
271652	5	0.22073171573	/cdaq/physics/firstCollisions16/v1.7.1/HLT/V1
271653	9764	0.18612432798	/cdaq/physics/firstCollisions16/v1.7.1/HLT/V1
271654	2379221	0.08545727964	/cdaq/physics/firstCollisions16/v1.7.1/HLT/V1
271656	754585	0.16902483135	/cdaq/physics/firstCollisions16/v1.7.1/HLT/V1
271658	825189	0.11654729874	/cdaq/physics/firstCollisions16/v1.7.1/HLT/V1
272007	1323	3.79850760508	/cdaq/special/PixelBiasScan/HLT/V7
272008	1389291	3.79850760508	/cdaq/special/PixelBiasScan/HLT/V7
272010	957305	3.79850760508	/cdaq/special/PixelBiasScan/HLT/V7
272011	7438652	3.79850760508	/cdaq/special/PixelBiasScan/HLT/V7
272012	8732889	3.79850760508	/cdaq/special/PixelBiasScan/HLT/V7
272014	4546030	3.79850760508	/cdaq/special/PixelBiasScan/HLT/V8
272016	1596093	3.79850760508	/cdaq/special/PixelBiasScan/HLT/V8
272017	84818	3.79850760508	/cdaq/special/PixelBiasScan/HLT/V8
272018	1220574	3.79850760508	/cdaq/special/PixelBiasScan/HLT/V8
272019	4414	3.79850760508	/cdaq/special/PixelBiasScan/HLT/V8
